race_id,race_name,season,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,rain_sprint,avg_airtemp_sprint,avg_tracktemp_sprint,high_windspeed_sprint,avg_windspeed_sprint
12,Belgian Grand Prix,2023,1,17.977777777777778,22.11111111111111,2,1.011111111111111,0,0,0,0,0,0,0,0,0,0,1,19.189999999999998,23.369999999999997,2.2,0.9299999999999999,1,17.826666666666664,28.21333333333333,2.5,1.5066666666666668,1,19.633333333333333,27.349999999999998,1.7,1.1333333333333333
13,Dutch Grand Prix,2023,0,20.855555555555554,33.6,2.5,1.7555555555555555,0,20.03333333333333,32.82222222222222,1.7,1.1666666666666667,1,16.255555555555556,18.933333333333334,3.7,2.6444444444444444,1,17.82,22.14,3.4,2.2,1,16.79523809523809,25.066666666666666,3.7,2.6857142857142864,0,0,0,0,0
14,Italian Grand Prix,2023,0,25.177777777777777,37.011111111111106,2,1.0888888888888888,0,26.888888888888886,36.25555555555556,1.7,0.9555555555555555,0,26.733333333333334,39.733333333333334,1.7,1.1222222222222225,0,28.1625,39.6,2,1.5,0,29.3125,42.975,2,1.1625,0,0,0,0,0
15,Singapore Grand Prix,2023,0,31.43333333333333,43.14444444444444,3,2.2555555555555555,0,30.011111111111106,36.55555555555556,1.8,1.3222222222222222,0,31.011111111111106,38.233333333333334,2.5,2.011111111111111,0,29.536363636363635,34.20909090909091,2,1.7363636363636366,0,29.855555555555554,36.52777777777777,2.5,1.4000000000000001,0,0,0,0,0
16,Japanese Grand Prix,2023,1,28.111111111111114,37.67777777777778,2.5,1.2555555555555555,0,28.1625,38.5625,3.7,2.8625,0,28.233333333333334,45.666666666666664,3.7,2.8111111111111113,0,26.089999999999996,36.540000000000006,4.5,3.69,0,27.3,42.3125,2.9,1.8499999999999999,0,0,0,0,0
17,Qatar Grand Prix,2023,0,34.611111111111114,39.9,5.8,4.666666666666668,0,0,0,0,0,0,0,0,0,0,0,31.422222222222224,34.37777777777778,3.9,3.3333333333333335,0,31.48125,36.962500000000006,1.2,0.85,0,31.781818181818185,35.845454545454544,2.7,1.5363636363636366
18,United States Grand Prix,2023,0,32.91111111111112,39.422222222222224,2.5,1.8444444444444446,0,0,0,0,0,0,0,0,0,0,0,35.5,41.525000000000006,2.4,1.55,0,29.900000000000002,40.641176470588235,4.9,3.1941176470588237,0,33.2,36.64,3.9,2.5
19,Mexico City Grand Prix,2023,0,23.666666666666668,43.71111111111111,2,1.3444444444444446,1,25.211111111111112,35.25555555555555,3,1.5999999999999999,0,21.37777777777778,43.611111111111114,2.2,1.2333333333333334,0,25.7875,44.512499999999996,2.5,1.3875,0,25.521052631578947,45.86842105263158,4,1.4000000000000001,0,0,0,0,0
20,São Paulo Grand Prix,2023,0,30.2125,43.1375,4.5,3.3375,0,0,0,0,0,0,0,0,0,0,0,29.477777777777778,38.56666666666667,3.2,2.2444444444444445,1,20.46315789473684,46.71052631578947,2.2,1.2736842105263162,0,27.333333333333332,50.98888888888889,2.2,1.3555555555555556
21,Las Vegas Grand Prix,2023,0,16.7,18.675,1,0.65,0,13.82666666666667,15.226666666666667,1.7,0.62,0,16.9,18.5875,2.5,1.0625,0,15.100000000000001,16.875,1.3,0.7875,0,18.072727272727267,18.145454545454545,4,2.1636363636363636,0,0,0,0,0
